movieCd,movieNm,movieNmEn,movieNmOg,showTm,prdtYear,openDt,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
20147613,그레이의 50가지 그림자,Fifty Shades of Grey,,125,2015,20150226,개봉,장편,,,,드라마|멜로/로맨스,미국,샘 테일러-존슨,제이미 도넌|다코타 존슨|제니퍼 엘|루크 그림즈,,유니버설픽쳐스인터내셔널 코리아(유)
20156082,마이펫의 이중생활,The Secret Life of Pets,,90,2016,20160803,개봉,장편,,,,애니메이션|코미디|가족,미국,크리스 리노드,스티브 쿠건|엘리 켐퍼|레이크 벨|데이너 카비|케빈 하트,,유니버설픽쳐스인터내셔널 코리아(유)
20141085,한 번 더 해피엔딩,The Rewrite,,106,2014,20150408,개봉,장편,,,,멜로/로맨스|코미디,미국,마크 로렌스,휴 그랜트|마리사 토메이|앨리슨 제니|벨라 헤스콧,,(주)팝엔터테인먼트
20157175,괴물의 아이,The Boy and The Beast,バケモノの子,119,2015,20151125,개봉,장편,,,,애니메이션|판타지|어드벤처,일본,호소다 마모루,야쿠쇼 코지|미야자키 아오이|소메타니 쇼타|히로세 스즈,,CGV아트하우스|(주)리틀빅픽쳐스
20168501,바스티유 데이,Bastille Day,,91,2016,20161013,개봉,장편,,,,액션,미국|프랑스,제임스 왓킨스,이드리스 엘바|리처드 매든|샬롯 르 본|호세 가르시아|켈리 라일리,,롯데쇼핑㈜롯데엔터테인먼트
20164094,립반윙클의 신부,A Bride for Rip Van Winkle,リップヴァンウィンクルの花嫁,119,2016,20160928,개봉,장편,,,,드라마|멜로/로맨스,일본,이와이 슌지,쿠로키 하루|아야노 고,,TCO(주)더콘텐츠온|주식회사 더쿱
20155223,목숨 건 연애,Life Risking Romance,,103,2016,20161214,개봉,장편,,,,멜로/로맨스|코미디,한국|대만|중국,송민규,하지원|천정명|진백림|윤소희|오정세,(주)비에이엔터테인먼트,오퍼스픽쳐스(유)
20156749,19곰 테드 2,Ted 2,,115,2015,20150625,개봉,장편,,,,코미디,미국,세스 맥팔레인,마크 월버그|세스 맥팔레인|아만다 사이프리드|모건 프리먼|리암 니슨,,유니버설픽쳐스인터내셔널 코리아(유)
20160203,어카운턴트,THE ACCOUNTANT,,127,2016,20161013,개봉,장편,,,,액션|스릴러,미국,게빈 오코너,벤 애플렉|안나 켄드릭|J.K. 시몬스|존 번탈,,워너브러더스 코리아(주)
20152121,리그레션,Regression,,106,2015,20151015,개봉,장편,,,,스릴러,스페인|캐나다,알레한드로 아메나바르,엠마 왓슨|에단 호크|아론 애쉬모어|데이빗 듈리스|데본 보스틱,,(주)박수엔터테인먼트
