movieCd,movieNm_box,rank,rankInten,rankOldAndNew,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,showRange,movieNm_detail,movieNmEn,movieNmOg,showTm,prdtYear,openDt,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
20081445,굿바이,9,3,OLD,7855520,1.8,596110,8.2,917429210,837,28,3.5,145874,132,146,2021-01-02,,굿바이,Departures,おくりびと,130,2008,20081030,개봉,장편,,,,드라마,일본,타키타 요지로,모토키 마사히로|히로스에 료코|야마자키 츠토무|요 키미코,,(주)팝엔터테인먼트|(주)드림팩트엔터테인먼트|㈜케이디미디어
20202128,100% 울프: 푸들이 될 순 없어,10,-1,OLD,5999210,1.4,-1890300,-24.0,112849940,787,-222,-22.0,14153,152,168,2021-01-02,,100% 울프: 푸들이 될 순 없어,100% Wolf,,95,2020,20201224,개봉,장편,,,,애니메이션,호주,알렉스 스타더만,,,(주)팝엔터테인먼트
20192567,원더 우먼 1984,1,0,OLD,166049440,46.2,-48130010,-22.5,4145067430,17795,-4970,-21.8,461430,1793,3714,2021-01-03,,원더 우먼 1984,Wonder Woman 1984,,150,2020,20201223,개봉,장편,,,,액션|어드벤처,미국,팻티 젠킨스,갤 가돗|크리스 파인|크리스틴 위그|페드로 파스칼|코니 닐슨,,워너브러더스 코리아(주)
20040725,화양연화,2,0,OLD,31791810,8.8,-4376880,-12.1,506731250,3494,-482,-12.1,59798,429,615,2021-01-03,,화양연화,In The Mood For Love,花樣年華,98,2000,20001020,개봉,장편,,,,드라마|멜로/로맨스,홍콩|프랑스,왕가위,장만옥|양조위,,(주)디스테이션
20202703,뱅가드,3,0,OLD,26995300,7.5,-6304700,-18.9,184506200,3046,-686,-18.4,22348,265,517,2021-01-03,,뱅가드,Vanguard,急先锋,107,2020,20201230,개봉,장편,,,,액션,중국,당계례,성룡|양양,,(주)디스테이션
20201002,조제,4,0,OLD,22839900,6.4,-3305360,-12.6,1751543220,2527,-390,-13.4,195429,446,570,2021-01-03,,조제,Josée,,116,2020,20201210,개봉,장편,,,,멜로/로맨스|드라마,한국,김종관,한지민|남주혁|허진|박예진|조복래,볼미디어(주) ,워너브러더스 코리아(주)
20192193,도굴,5,0,OLD,18399090,5.1,-2956120,-13.8,13830034690,2018,-357,-15.0,1530885,283,352,2021-01-03,,도굴,Collectors,,114,2020,20201104,개봉,장편,,,,범죄,한국,박정배,이제훈|조우진|신혜선|임원희,(주)싸이런픽쳐스,(주)씨제이이엔엠
20202647,나이팅게일,6,0,OLD,11264600,3.1,-4290750,-27.6,86249740,1271,-505,-28.4,10620,272,360,2021-01-03,,나이팅게일,The Nightingale,,136,2018,20201230,개봉,장편,,,,스릴러,호주,제니퍼 켄트,샘 클라플린,,(주)제이앤씨미디어그룹
20202130,빅풋 주니어2: 패밀리가 떴다,7,0,OLD,8056490,2.2,-697890,-8.0,29395840,958,-139,-12.7,3620,194,231,2021-01-03,,빅풋 주니어2: 패밀리가 떴다,Bigfoot Family,,85,2020,20210106,개봉,장편,,,,애니메이션,기타,벤 스타센|제레미 드그루손,,,(주)이수C&E
20167904,라라랜드,8,0,OLD,5967000,1.7,-873000,-12.8,30894173808,852,-123,-12.6,3745041,34,51,2021-01-03,,라라랜드,LA LA LAND,,127,2016,20161207,개봉,장편,,,,드라마|뮤지컬|멜로/로맨스,미국,데이미언 셔젤,엠마 스톤|라이언 고슬링|핀 위트록|J.K. 시몬스|로즈마리 드윗,,판씨네마(주)
20081445,굿바이,9,0,OLD,7018340,2.0,-837180,-10.7,924447550,766,-71,-8.5,146640,125,139,2021-01-03,,굿바이,Departures,おくりびと,130,2008,20081030,개봉,장편,,,,드라마,일본,타키타 요지로,모토키 마사히로|히로스에 료코|야마자키 츠토무|요 키미코,,(주)팝엔터테인먼트|(주)드림팩트엔터테인먼트|㈜케이디미디어
20181983,이웃사촌,10,1,OLD,5780840,1.6,-1014460,-14.9,3668929700,643,-110,-14.6,427141,142,161,2021-01-03,,이웃사촌,Best Friend,,130,2020,20201125,개봉,장편,,,,드라마|코미디,한국,이환경,정우|오달수|김희원|김병철|조현철,(주)시네마허브|환타지엔터테인먼트,(주)리틀빅픽쳐스|(주)트리니티픽쳐스
20192567,원더 우먼 1984,1,0,OLD,48915730,40.1,-117133710,-70.5,4193983160,5485,-12310,-69.2,466915,1321,2178,2021-01-04,,원더 우먼 1984,Wonder Woman 1984,,150,2020,20201223,개봉,장편,,,,액션|어드벤처,미국,팻티 젠킨스,갤 가돗|크리스 파인|크리스틴 위그|페드로 파스칼|코니 닐슨,,워너브러더스 코리아(주)
20040725,화양연화,2,0,OLD,14318020,11.7,-17473790,-55.0,521049270,1659,-1835,-52.5,61457,375,527,2021-01-04,,화양연화,In The Mood For Love,花樣年華,98,2000,20001020,개봉,장편,,,,드라마|멜로/로맨스,홍콩|프랑스,왕가위,장만옥|양조위,,(주)디스테이션
20201002,조제,3,1,OLD,8538560,7.0,-14301340,-62.6,1760081780,999,-1528,-60.5,196428,320,410,2021-01-04,,조제,Josée,,116,2020,20201210,개봉,장편,,,,멜로/로맨스|드라마,한국,김종관,한지민|남주혁|허진|박예진|조복래,볼미디어(주) ,워너브러더스 코리아(주)
20202703,뱅가드,4,-1,OLD,8169200,6.7,-18826100,-69.7,192675400,969,-2077,-68.2,23317,191,335,2021-01-04,,뱅가드,Vanguard,急先锋,107,2020,20201230,개봉,장편,,,,액션,중국,당계례,성룡|양양,,(주)디스테이션
20192193,도굴,5,0,OLD,6237450,5.1,-12161640,-66.1,13836272140,775,-1243,-61.6,1531660,190,217,2021-01-04,,도굴,Collectors,,114,2020,20201104,개봉,장편,,,,범죄,한국,박정배,이제훈|조우진|신혜선|임원희,(주)싸이런픽쳐스,(주)씨제이이엔엠
20202647,나이팅게일,6,0,OLD,5012540,4.1,-6252060,-55.5,91262280,609,-662,-52.1,11229,210,267,2021-01-04,,나이팅게일,The Nightingale,,136,2018,20201230,개봉,장편,,,,스릴러,호주,제니퍼 켄트,샘 클라플린,,(주)제이앤씨미디어그룹
20167904,라라랜드,7,1,OLD,2614000,2.1,-3353000,-56.2,30896787808,372,-480,-56.3,3745413,32,47,2021-01-04,,라라랜드,LA LA LAND,,127,2016,20161207,개봉,장편,,,,드라마|뮤지컬|멜로/로맨스,미국,데이미언 셔젤,엠마 스톤|라이언 고슬링|핀 위트록|J.K. 시몬스|로즈마리 드윗,,판씨네마(주)
20081445,굿바이,8,1,OLD,2674270,2.2,-4344070,-61.9,927121820,335,-431,-56.3,146975,107,119,2021-01-04,,굿바이,Departures,おくりびと,130,2008,20081030,개봉,장편,,,,드라마,일본,타키타 요지로,모토키 마사히로|히로스에 료코|야마자키 츠토무|요 키미코,,(주)팝엔터테인먼트|(주)드림팩트엔터테인먼트|㈜케이디미디어
20149629,비긴 어게인,9,3,OLD,2017470,1.7,-2085500,-50.8,27332697801,291,-300,-50.8,3467216,34,41,2021-01-04,,비긴 어게인,Begin Again,,103,2013,20140813,개봉,장편,,,,멜로/로맨스,미국,존 카니,키이라 나이틀리|마크 러팔로|애덤 리바인|헤일리 스테인펠드|제임스 코든,,판씨네마(주)
20181983,이웃사촌,10,0,OLD,2289090,1.9,-3491750,-60.4,3671218790,281,-362,-56.3,427422,101,114,2021-01-04,,이웃사촌,Best Friend,,130,2020,20201125,개봉,장편,,,,드라마|코미디,한국,이환경,정우|오달수|김희원|김병철|조현철,(주)시네마허브|환타지엔터테인먼트,(주)리틀빅픽쳐스|(주)트리니티픽쳐스
20192567,원더 우먼 1984,1,0,OLD,46063290,34.6,-2852440,-5.8,4240046450,5160,-325,-5.9,472075,1275,2069,2021-01-05,,원더 우먼 1984,Wonder Woman 1984,,150,2020,20201223,개봉,장편,,,,액션|어드벤처,미국,팻티 젠킨스,갤 가돗|크리스 파인|크리스틴 위그|페드로 파스칼|코니 닐슨,,워너브러더스 코리아(주)
20040725,화양연화,2,0,OLD,14859320,11.2,541300,3.8,535908590,1692,33,2.0,63149,375,535,2021-01-05,,화양연화,In The Mood For Love,花樣年華,98,2000,20001020,개봉,장편,,,,드라마|멜로/로맨스,홍콩|프랑스,왕가위,장만옥|양조위,,(주)디스테이션
20201002,조제,3,0,OLD,9415880,7.1,877320,10.3,1769497660,1090,91,9.1,197518,330,411,2021-01-05,,조제,Josée,,116,2020,20201210,개봉,장편,,,,멜로/로맨스|드라마,한국,김종관,한지민|남주혁|허진|박예진|조복래,볼미디어(주) ,워너브러더스 코리아(주)
20207443,소울,4,0,NEW,9038000,6.8,9038000,100.0,9038000,1006,1006,100.0,1006,9,9,2021-01-05,,소울,SOUL,,106,2020,20210120,개봉,장편,,,,애니메이션,미국,피트 닥터,제이미 폭스|티나 페이,월트 디즈니 픽쳐스|픽사 애니메이션 스튜디오,월트디즈니컴퍼니코리아 유한책임회사
20202703,뱅가드,5,-1,OLD,7459600,5.6,-709600,-8.7,200135000,877,-92,-9.5,24194,194,346,2021-01-05,,뱅가드,Vanguard,急先锋,107,2020,20201230,개봉,장편,,,,액션,중국,당계례,성룡|양양,,(주)디스테이션
20192193,도굴,6,-1,OLD,6662260,5.0,424810,6.8,13842934400,767,-8,-1.0,1532427,216,260,2021-01-05,,도굴,Collectors,,114,2020,20201104,개봉,장편,,,,범죄,한국,박정배,이제훈|조우진|신혜선|임원희,(주)싸이런픽쳐스,(주)씨제이이엔엠
20202647,나이팅게일,7,-1,OLD,4890470,3.7,-122070,-2.4,96152750,587,-22,-3.6,11816,217,263,2021-01-05,,나이팅게일,The Nightingale,,136,2018,20201230,개봉,장편,,,,스릴러,호주,제니퍼 켄트,샘 클라플린,,(주)제이앤씨미디어그룹
20167904,라라랜드,8,-1,OLD,2543000,1.9,-71000,-2.7,30899330808,365,-7,-1.9,3745778,32,45,2021-01-05,,라라랜드,LA LA LAND,,127,2016,20161207,개봉,장편,,,,드라마|뮤지컬|멜로/로맨스,미국,데이미언 셔젤,엠마 스톤|라이언 고슬링|핀 위트록|J.K. 시몬스|로즈마리 드윗,,판씨네마(주)
20081445,굿바이,9,-1,OLD,2560420,1.9,-113850,-4.3,929682240,302,-33,-9.9,147277,104,116,2021-01-05,,굿바이,Departures,おくりびと,130,2008,20081030,개봉,장편,,,,드라마,일본,타키타 요지로,모토키 마사히로|히로스에 료코|야마자키 츠토무|요 키미코,,(주)팝엔터테인먼트|(주)드림팩트엔터테인먼트|㈜케이디미디어
