movieInfo,movieCd,movieNm,movieNmEn,movieNmOg,showTm,prdtYear,openDt,prdtStatNm,typeNm,nations,nation,nationNm,genres,genre,genreNm,directors,director,peopleNm,peopleNmEn,actors,actor,cast,castEn,showTypes,showType,showTypeGroupNm,showTypeNm,companys,company,companyCd,companyNm,companyNmEn,companyPartNm,audits,audit,auditNo,watchGradeNm,staffs,staff,staffRoleNm,error
,20010007,고양이를 부탁해,Take Care of My Cat,,112,2001,20011012,개봉,장편,,,한국,,,드라마,,,노영길,,,,팀장,,,,2D,디지털,,,20100303,(주)시네마서비스,"Cinema Service Co.,Ltd.",해외세일즈사,,,2001-F289,12세관람가,,,운송,
,20000152,바스켓볼 다이어리,Basketball Diaries,,102,1995,20000429,개봉,장편,,,미국,,,드라마,,,마크 월버그,Mark Wahlberg,,,미키,,,,2D,디지털,,,20100012,(주)신도필림,,수입사,,,2000-F081,18세관람가,,,,
,20010241,브리짓 존스의 일기,Bridget Jones's Diary,,97,2001,20010901,개봉,장편,,,영국,,,코미디,,,휴 그랜트,Hugh Grant,,,,,,,2D,디지털,,,20100649,UIP코리아,United International Pictures Korea,수입사,,,2021-MF01225,15세이상관람가,,,,
,20010013,봄날은 간다,One Fine Spring Day,,113,2001,20010928,개봉,장편,,,한국,,,드라마,,,김미라,,,,작은 할머니,,,,2D,디지털,,,20111031,데몰리션,DEMOLITION STUDIO,제작서비스-시각효과/특수효과,,,2001-F266,15세관람가,,,식당차,
,20010264,아멜리에,Amelie Of Montmartre,Le Fabuleux Destins d`Amelie Poulain,121,2001,20011019,개봉,장편,,,프랑스,,,판타지,,,마티유 카소비츠,Mathieu Kassovitz,,,,,,,2D,디지털,,,20100301,(주)제이엔엔터테인먼트,,수입사,,,2021-MF02270,15세이상관람가,,,,
,19900204,죽은 시인의 사회,Dead Poets Society,,128,1989,19900519,개봉,장편,,,미국,,,드라마,,,샌디 베네지아노,Sandy Veneziano,,,,,,,2D,디지털,,,2016621,(주)아이아스플러스,AIASPLUS Inc.,수입사,,,2016-MF01113,12세이상관람가,,,아트디렉터,
,20020186,헤드윅,Hedwig And The Angry Inch,,91,2001,20020809,개봉,장편,,,미국,,,뮤지컬,,,존 카메론 밋첼,John Cameron Mitchell,,,,,,,2D,디지털,,,20111582,(주)엣나인필름,"Atnine Film Co., Ltd.",제공,,,2017-MF00375,15세이상관람가,,,,
,20020234,반지의 제왕 : 두 개의 탑,The Lord Of The Rings : The Two Towers,,179,2002,20021219,개봉,장편,,,미국,,,판타지,,,휴고 위빙,Hugo Weaving,,,엘론드,,,,IMAX,IMAX,,,20100057,㈜에스앤엠코리아,S&M Korea,수입사,,,2002-F341,12세관람가,,,,
,20030316,반지의 제왕 : 왕의 귀환,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,262,2003,20031217,개봉,장편,,,미국,,,어드벤처,,,휴고 위빙,Hugo Weaving,,,엘론드,,,,IMAX,IMAX,,,20100947,(주)태원엔터테인먼트,TAEWON ENTERTAINMENT,수입사,,,2003-F336,12세관람가,,,,
,20010238,메멘토,Memento,,113,2000,20010824,개봉,장편,,,미국,,,스릴러,,,조나단 놀란,Jonathan Nolan,,,,,,,2D,디지털,,,20100207,(주)씨네월드,Cineworld,수입사,,,2014-MF01083 ,15세이상관람가,,,시나리오(각본),
,20030003,클래식,The Classic,,132,2003,20030130,개봉,장편,,,한국,,,드라마,,,정진우,JiN-woo Jung,,,동전던지는교수,,,,2D,디지털,,,20110335,㈜블루캡,BLUECAP,제작서비스-사운드,,,2003-F011,12세관람가,,,운송,
,20030404,러브 액츄얼리,Love Actually,Love Actually,130,2003,20031205,개봉,장편,,,영국,,,코미디,,,빌 나이,Bill Nighy,,,빌리 맥,,,,2D,디지털,,,20231282,허스키,HUSKY,수입사,,,2013-MF00921 ,15세이상관람가,,,,
,20010291,해리포터와 마법사의 돌,Harry Potter And The Socrerers Stone,,152,2001,20011213,개봉,장편,,,미국,,,판타지,,,루퍼트 그린트,Rupert Grint,,,론 위즐리,,,,4D,4D,,,20100043,워너브러더스 코리아(주),Warner Bros. Korea,수입사,,,2001-F336,전체관람가,,,,
,20020222,해리포터와 비밀의 방,Harry Potter And The Chamber Of Secrets,,161,2002,20021213,개봉,장편,,,미국,,,드라마,,,루퍼트 그린트,Rupert Grint,,,,,,,4D,4D,,,20100043,워너브러더스 코리아(주),Warner Bros. Korea,수입사,,,2002-F324,전체관람가,,,,
,20040525,패션 오브 크라이스트,The Passion Of Christ,,126,2004,20040402,개봉,장편,,,미국,,,드라마,,,마이아 모겐스턴,Maia Morgenstern,,,,,,,2D,디지털,,,20101507,이십세기폭스필름코퍼레이션,20th Century Fox Film Corporation,수입사,,,2004-F078,15세관람가,,,,
,20021031,남색대문,Blue Gate Crossing,藍色大門,83,2002,20210818,개봉,장편,,,대만,,,멜로/로맨스,,,양우림,Liang Yolin,,,,,,,2D,디지털,,,20101102,오드,AUD,수입사,,,2020-MF02613 ,12세이상관람가,,,,
,20040598,해리포터와 아즈카반의 죄수,Harry Potter And The Prisoner Of Azkaban,,136,2004,20040716,개봉,장편,,,미국,,,드라마,,,루퍼트 그린트,Rupert Grint,,,,,,,4D,4D,,,20100043,워너브러더스 코리아(주),Warner Bros. Korea,수입사,,,2004-F170,전체관람가,,,,
,20030074,이도공간,Inner Senses,異度空間,100,2002,20030605,개봉,장편,,,홍콩,,,스릴러,,,임가흔,Kar Yan Lam,,,,,,,2D,디지털,,,20100276,(주)유니라인코리아,,수입사,,,2003-F135,12세관람가,,,,
,20040725,화양연화,In The Mood For Love,花樣年華,98,2000,20001020,개봉,장편,,,프랑스,,,멜로/로맨스,,,양조위,Tony Leung Chiu Wai,,,"초 모완, 주모운, 周慕雲",,,,2D,디지털 4K,,,20100096,굿타임엔터테인먼트㈜,,수입사,,,2020-MF02467,15세이상관람가,,,,
,20040462,빅 피쉬,Big Fish,,125,2003,20040305,개봉,장편,,,미국,,,판타지,,,마리옹 꼬띠아르,Marion Cotillard,,,,,,,2D,디지털,,,20101728,콜럼비아트라이스타영화㈜,,수입사,,,2021-MF00617,12세이상관람가,,,,
,20051060,극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,Pokemon: Lucario And The Mystery Of Mew,劇場版ポケットモンスター アドバンスジェネレーション 「ミュウと波導の勇者 ルカリオ」,99,2005,20250122,개봉,장편,,,일본,,,애니메이션,,,우에다 유지,Yuji Ueda,,,,,,,2D,디지털,,,20062956,(주)포켓몬코리아,,수입사,,,2024-MF03186 ,전체관람가,,,,
,20050112,배트맨 비긴즈,Batman Begins,,134,2005,20050624,개봉,장편,,,미국,,,판타지,,,마이클 케인,Michael Caine,,,,,,,IMAX,IMAX,,,20100043,워너브러더스 코리아(주),Warner Bros. Korea,수입사,,,2005-F132,12세관람가,,,,
,20060347,판의 미로 - 오필리아와 세 개의 열쇠,Pan's Labyrinth,El Laberinto Del Fauno,118,2006,20061130,개봉,장편,,,멕시코,,,전쟁,,,세르지 로페즈,Sergi Lopez,,,캐피탄 비달,,,,2D,디지털,,,20100377,(주)유레카픽쳐스 ,,수입사,,,2006-F355,15세이상관람가,,,,
,20040526,첫키스만 50번째,50 First Dates,,99,2004,20040415,개봉,장편,,,미국,,,코미디,,,드류 베리모어,Drew Barrymore,,,,,,,2D,디지털,,,20101728,콜럼비아트라이스타영화㈜,,수입사,,,2017-MF00836,15세이상관람가,,,,
,20030371,태극기 휘날리며,TaeGukGi: Brotherhood Of War,,148,2004,20040205,개봉,장편,,,한국,,,드라마,,,김태건,KIM Tae-geon,,,임민군 무전병,,,,2D,디지털,,,20111553,(주)케이제이네트,KJ-net,프로덕션 서비스,,,2004-F017,15세관람가,,,스틸,
,20060423,드림걸즈,Dreamgirls,,129,2006,20070222,개봉,장편,,,미국,,,뮤지컬,,,대니 글로버,Danny Glover,,,,,,,2D,디지털,,,20100109,씨제이엔터테인먼트,CJ Entertainment,수입사,,,2007-F034,15세이상관람가,,,,
,20040695,이프 온리,If Only,,95,2004,20041029,개봉,장편,,,미국,,,판타지,,,폴 니콜스,Paul Nicholls ,,,이안,,,,2D,디지털,,,20100161,유니코리아문예투자(주),"UniKorea Culture & Art Investment Co., Ltd.",수입사,,,2024-MF00158 ,12세이상관람가,,,,
,20040734,노트북,The Notebook,,123,2004,20041126,개봉,장편,,,미국,,,멜로/로맨스,,,라이언 고슬링,Ryan Gosling,,,,,,,2D,디지털,,,20100203,스튜디오플러스(주),Studio Plus Inc.,수입사,,,2016-MF01433,15세이상관람가,,,,
,20071054,중경삼림,Chungking Express,重慶森林,102,1994,19950902,개봉,장편,,,홍콩,,,드라마,,,크리스토퍼 도일,Christopher Doyle,,,,,,,2D,디지털 4K,,,20100032,스타맥스(주),"Starmax Co., Ltd.",수입사,,,2021-MF00133,15세이상관람가,,,촬영,
,20070454,원스,Once,,86,2006,20070920,개봉,장편,,,아일랜드,,,드라마,,,마르케타 이글로바,Marketa Irglova,,,소녀,,,,2D,디지털,,,20100631,(주)영화사 진진,JINJIN Pictures,수입사,,,2017-MF01772,전체관람가,,,,
,20050310,해리 포터와 불의 잔,Harry Potter and the Goblet of Fire,,156,2005,20051201,개봉,장편,,,미국,,,판타지,,,로버트 패틴슨,Robert Pattinson,,,케드릭 디고리,,,,4D,4D,,,20100043,워너브러더스 코리아(주),Warner Bros. Korea,수입사,,,2005-F304,12세관람가,,,,
,20078561,명탐정 코난:감벽의 관,Detective Conan: Jolly Roger in the Deep Azure,名探偵コナン紺碧の棺(ジョリー・ロジャー),106,2007,20180214,개봉,장편,,,일본,,,애니메이션,,,카시와바라 히로시,Hiroshi Kashiwabara,,,홍장미 한국어 더빙,,,,2D,디지털 더빙,,,20110854,(주)씨제이이엔엠,CJ ENM Corp.,수입사,,,2018-MF00213,12세이상관람가,,,시나리오(각본),
,20060048,브이 포 벤데타,V For Vendetta,,132,2005,20060316,개봉,장편,,,미국,,,액션,,,휴고 위빙,Hugo Weaving,,,V,,,,2D,디지털,,,20100043,워너브러더스 코리아(주),Warner Bros. Korea,수입사,,,2006-F044,15세관람가,,,,
