title,release_date,imdb_id,tmdb_id,overview,directors,cast_top5,genres,production_companies,production_countries
One Piece Film Red,2022-08-06,tt16183464,900667,"Uta — the most beloved singer in the world. Her voice, which she sings with while concealing her true identity, has been described as “otherworldly.” She will appear in public for the first time at a live concert. As the venue fills with all kinds of Uta fans — excited pirates, the Navy watching closely, and the Straw Hats led by Luffy who simply came to enjoy her sonorous performance — the voice that the whole world has been waiting for is about to resound.",Goro Taniguchi,"Mayumi Tanaka, Kazuya Nakai, Shuichi Ikeda, Kaori Nazuka, Akemi Okamura","Animation, Adventure, Action, Fantasy, Music","Toei Animation, Shueisha, Toei Company, Fuji Television Network, Bandai, Bandai Namco Entertainment, ADK Emotions, dentsu",JP
Cobweb,2023-09-27,tt21254598,901121,"In the 1970s, Director Kim is obsessed by the desire to re-shoot the ending of his completed film Cobweb, but chaos and turmoil grip the set with interference from the censorship authorities, and the complaints of actors and producers who can't understand the re-written ending. Will Kim be able to find a way through this chaos to fulfill his artistic ambitions and complete his masterpiece?",Kim Jee-woon,"Song Kang-ho, Lim Soo-jung, Oh Jung-se, Jeon Yeo-been, Krystal Jung","Comedy, Drama","Anthology Studios, Luz y Sonidos, Barunson, Barunson E&A, Barunson Studio",KR
Trolls Band Together,2023-10-12,tt14362112,901362,"When Branch's brother, Floyd, is kidnapped for his musical talents by a pair of nefarious pop-star villains, Branch and Poppy embark on a harrowing and emotional journey to reunite the other brothers and rescue Floyd from a fate even worse than pop-culture obscurity.",Walt Dohrn,"Anna Kendrick, Justin Timberlake, Camila Cabello, Eric André, Amy Schumer","Animation, Family, Music, Fantasy, Comedy",DreamWorks Animation,US
Detective Conan: The Bride of Halloween,2022-04-15,tt19770970,903939,"Shibuya, Tokyo, is bustling with the Halloween season. A wedding is being held at Shibuya Hikarie, where Detective Miwako Sato of the Metropolitan Police Department is dressed in a wedding dress. While Conan and the other invited guests are watching, an assailant suddenly bursts in, and Detective Wataru Takagi, who was trying to protect Sato, is injured. Takagi survived and the situation was settled, but in Sato's eyes, the image of the grim reaper that she had seen when Detective Matsuda, the man she had been in love with, had been killed in a series of bombings three years ago, overlapped with Takagi's.",Susumu Mitsunaka,"Minami Takayama, Kappei Yamaguchi, Wakana Yamazaki, Rikiya Koyama, Toru Furuya","Animation, Action, Crime, Mystery","TMS Entertainment, V1 studio, Shogakukan, Yomiuri Telecasting Corporation, Nippon Television Network Corporation, Shogakukan-Shueisha Productions, TOHO, Audio Planning U",JP
Venom: The Last Dance,2024-10-22,tt16366836,912649,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",Kelly Marcel,"Tom Hardy, Chiwetel Ejiofor, Juno Temple, Rhys Ifans, Stephen Graham","Action, Science Fiction, Adventure","Columbia Pictures, Pascal Pictures, Matt Tolmach Productions, Hutch Parker Entertainment, Arad Productions",US
"The Tunnel to Summer, the Exit of Goodbyes",2022-09-09,tt17382524,916192,"Urashima Tunnel – Once you enter that tunnel, you can get whatever you want, but at a price. Kaoru Tohno, who seems to have an elusive personality and traumatic past, and Anzu Hanashiro, who is struggling to reconcile her ideal image and true-to-heart attitude, team up to investigate the Urashima Tunnel and get what they want. This is an unforgettable summer story of nostalgia and sprinting in a remote countryside.",Tomohisa Taguchi,"Ouji Suzuka, Marie Iitoyo, Tasuku Hatanaka, Arisa Komiya, Haruka Terui","Animation, Drama, Romance, Fantasy, Science Fiction","CLAP, Pony Canyon, Shogakukan, Sotsu, STUDIO MAUSU, Kansai Television",JP
Suzume,2022-11-11,tt16428256,916224,"Suzume, 17, lost her mother as a little girl. On her way to school, she meets a mysterious young man. But her curiosity unleashes a calamity that endangers the entire population of Japan, and so Suzume embarks on a journey to set things right.",Makoto Shinkai,"Nanoka Hara, Hokuto Matsumura, Eri Fukatsu, Shota Sometani, Sairi Ito","Animation, Drama, Adventure, Fantasy","CoMix Wave Films, Story, Lawson Entertainment, jeki, voque ting, KADOKAWA, Aniplex, TOHO",JP
Beetlejuice Beetlejuice,2024-09-04,tt2049403,917496,"After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.",Tim Burton,"Michael Keaton, Winona Ryder, Catherine O'Hara, Jenna Ortega, Justin Theroux","Horror, Comedy, Fantasy","Warner Bros. Pictures, Geffen Pictures, Plan B Entertainment, Tim Burton Productions, Tommy Harper Productions, Domain Entertainment",US
12.12: The Day,2023-11-22,tt22507524,919207,"After the assassination of President Park, martial law has been declared. A coup d'état bursts out by DefenseSecurity Commander Chun Doo-gwang and a private band of officers following him. Capital Defense Commander Lee Tae-shin, an obstinate soldier who believes the military should not take political actions, fights against Chun Doo-gwang to stop him. The conflict between the two grows while military leaders are holding their decision and Defense Minister is gone. In the midst of chaos, the spring of Seoul that everyone longed for heads to unexpected direction.",Kim Sung-soo,"Hwang Jung-min, Jung Woo-sung, Lee Sung-min, Park Hae-jun, Kim Sung-kyun","Drama, History, Thriller, Crime, War, Action","Hive Media Corp, Plus M Entertainment",KR
Escape,2024-07-03,tt31898445,921436,"After completing his required decade of military service and being honored as a hero, a North Korean sergeant makes a sudden shocking attempt to defect to the South, risking life and limb for the chance to finally determine his own destiny.",Lee Jong-pil,"Lee Je-hoon, Koo Kyo-hwan, Hong Xa-bin, Seo Hyun-woo, Lee Sung-wook","Action, Drama, Thriller","The LAMP, Plus M Entertainment",KR
Civil War,2024-04-10,tt17279496,929590,"In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",Alex Garland,"Kirsten Dunst, Wagner Moura, Cailee Spaeny, Stephen McKinley Henderson, Nelson Lee","War, Action, Drama","DNA Films, IPR.VC, A24","FI, GB, US"
The Substance,2024-09-07,tt17526714,933260,"A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.",Coralie Fargeat,"Demi Moore, Margaret Qualley, Dennis Quaid, Edward Hamilton-Clark, Gore Abrams","Horror, Science Fiction","Working Title Films, Blacksmith, Working Title Films","FR, GB, US"
Champions,2023-03-09,tt15339570,933419,A stubborn and hotheaded minor league basketball coach is forced to train a Special Olympics team when he is sentenced to community service.,Bobby Farrelly,"Woody Harrelson, Kaitlin Olson, Cheech Marin, Matt Cook, Ernie Hudson","Comedy, Drama","Gold Circle Films, Focus Features",US
A Man Called Otto,2022-12-28,tt7405458,937278,"When a lively young family moves in next door, grumpy widower Otto Anderson meets his match in a quick-witted, pregnant woman named Marisol, leading to an unlikely friendship that turns his world upside down.",Marc Forster,"Tom Hanks, Mariana Treviño, Cameron Britton, Mack Bayda, Manuel Garcia-Rulfo","Comedy, Drama","Playtone, SF Studios, Artistic Films, Columbia Pictures, 2DUX², TSG Entertainment","SE, US"
Challengers,2024-04-18,tt16426418,937287,"Tennis player turned coach Tashi has taken her husband, Art, and transformed him into a world-famous Major champion. To jolt him out of his recent losing streak, she signs him up for a ""Challenger"" event — close to the lowest level of pro tournament — where he finds himself standing across the net from his former best friend and Tashi's former boyfriend.",Luca Guadagnino,"Zendaya, Mike Faist, Josh O'Connor, Darnell Appling, Bryan Doo","Drama, Romance","Pascal Pictures, Why Are You Acting? Productions, Frenesy Film, Metro-Goldwyn-Mayer","IT, US"
The Killer,2022-07-13,tt19713090,938008,"When retired hitman’s wife goes on vacation with her friend, she asks him to look after the friend's teenage daughter. Things go awry when he is forced to use a little violence to protect the girl from juvenile delinquents, but then they are found dead and the girl is kidnapped.",Choi Jae-hoon,"Jang Hyuk, Lee Seo-young, Bruce Khan, Bang Eun-jeong, Lee Seung-joon","Action, Crime, Thriller","M-Line Distribution, iHQ",KR
Late Night with the Devil,2024-03-19,tt14966898,938614,"A live broadcast of a late-night talk show in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.","Cameron Cairnes, Colin Cairnes","David Dastmalchian, Laura Gordon, Ian Bliss, Fayssal Bazzi, Ingrid Torelli",Horror,"Spooky Pictures, Future Pictures, Good Fiend Films, VicScreen, AGC Studios, Image Nation Abu Dhabi","AU, AE, US"
Here,2024-10-30,tt18272208,940139,"An odyssey through time and memory, centered on a place in New England where—from wilderness, and then, later, from a home—love, loss, struggle, hope and legacy play out between couples and families over generations.",Robert Zemeckis,"Tom Hanks, Robin Wright, Paul Bettany, Kelly Reilly, Ellis Grunsell",Drama,"Miramax, ImageMovers",US
