title,release_date,imdb_id,tmdb_id,overview,directors,cast_top5,genres,production_companies,production_countries
The Quintessential Quintuplets Movie,2022-05-20,tt15721650,820067,"When five lovely young girls who hate studying hire part-time tutor Futaro, he guides not only their education but also their hearts. Time spent has brought them all closer, with feelings growing within the girls and Futaro. As they finish their third year of high school and their last school festival approaches, they set their sights on what’s next. Is there a future with one of them and Futaro?",Masato Jimbo,"Yoshitsugu Matsuoka, Kana Hanazawa, Ayana Taketatsu, Miku Ito, Ayane Sakura","Animation, Comedy, Romance","Pony Canyon, Nichion, Bibury Animation Studios, BS11, GYAO, Kodansha, Good Smile Film, Bushiroad, MAGNET, TBS",JP
Demon Slayer: Kimetsu no Yaiba - Sibling's Bond,2019-03-29,tt14888860,820232,"A recap of Kimetsu no Yaiba episodes 1–5, with new footage and special end credits. Tanjiro Kamado returns home to find his family slaughtered and the lone survivor, his sister Nezuko, turned into a Demon. To his surprise, however, Nezuko still shows signs of human emotion and thought. Thus begins Tanjiro's journey to seek out the Demon who killed their family and turn his sister human again.",Haruo Sotozaki,"Natsuki Hanae, Akari Kito, Takahiro Sakurai, Hochu Otsuka, Yuki Kaji","Animation, Action, Fantasy, Thriller",ufotable,JP
A Year-End Medley,2021-12-29,tt16755970,821661,A romantic comedy of a young man and woman that is told in the background of hotel 'Emross'. It has stories of people who met each other at Hotel Emross during the New Year holidays. Each one has his own memory to relate and create relationships or just going nostalgic.,Kwak Jae-yong,"Han Ji-min, Lee Dong-wook, Kang Ha-neul, Seo Kang-joon, Yoona","Comedy, Romance","Hive Media Corp, CJ Entertainment",KR
Captain America: Brave New World,2025-02-12,tt14513804,822119,"After meeting with newly elected U.S. President Thaddeus Ross, Sam finds himself in the middle of an international incident. He must discover the reason behind a nefarious global plot before the true mastermind has the entire world seeing red.",Julius Onah,"Anthony Mackie, Harrison Ford, Danny Ramirez, Shira Haas, Tim Blake Nelson","Action, Thriller, Science Fiction","Marvel Studios, Kevin Feige Productions",US
Godzilla x Kong: The New Empire,2024-03-27,tt14539740,823464,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",Adam Wingard,"Rebecca Hall, Brian Tyree Henry, Dan Stevens, Kaylee Hottle, Alex Ferns","Action, Adventure, Science Fiction",Legendary Pictures,US
Dream Scenario,2023-11-10,tt21942866,823482,"Hapless family man Paul Matthews finds his life turned upside down when millions of strangers suddenly start seeing him in their dreams. But when his nighttime appearances take a nightmarish turn, Paul is forced to navigate his newfound stardom.",Kristoffer Borgli,"Nicolas Cage, Julianne Nicholson, Lily Bird, Jessica Clement, Michael Cera","Comedy, Fantasy","A24, Square Peg, Saturn Films",US
Blacklight,2022-02-10,tt14060094,823625,Travis Block is a shadowy Government agent who specializes in removing operatives whose covers have been exposed. He then has to uncover a deadly conspiracy within his own ranks that reaches the highest echelons of power.,Mark Williams,"Liam Neeson, Emmy Raver-Lampman, Taylor John Smith, Aidan Quinn, Tim Draxl","Action, Thriller, Adventure","The Solution, Zero Gravity Management, Film Victoria, Lightstream Entertainment, Screen Australia, Footloose Productions, Sina Studios, Fourstar Film Partners Production, Elevate Production Finance, Monty the Dog Productions","AU, CN, US"
Rogue Hostage,2021-06-11,tt13067292,825997,A former Marine races against time to save a group of hostages -- including his young daughter and a congressman — when armed militants take over his stepfather's store.,Jon Keeyes,"Tyrese Gibson, John Malkovich, Michael Jai White, Holly Taylor, Luna Lauren Velez","Action, Adventure, Thriller","Yale Productions, BondIt Media Capital, Buffalo 8 Productions, SSS Entertainment, Voltron Filmz, Red Sea Media, Red Wire Pictures, Highland Myst Entertainment, Vertical",US
"Lyle, Lyle, Crocodile",2022-10-07,tt14668630,830784,"When the Primm family moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle — a singing crocodile who loves baths, caviar and great music — living in the attic of his new home. But when Lyle’s existence is threatened by evil neighbor Mr. Grumps, the Primms must band together to show the world that family can come from the most unexpected places.","Will Speck, Josh Gordon","Shawn Mendes, Winslow Fegley, Javier Bardem, Constance Wu, Scoot McNairy","Comedy, Family, Music","Eagle Pictures, Columbia Pictures","IT, US"
2037,2022-06-08,tt21293272,833593,"Yoon-young, a 19-year-old girl who dreams of becoming a civil servant, is framed as a murderer and imprisoned in a women's prison.",Mo Hong-jin,"Hong Ye-ji, Kim Ji-young, Kim Mi-hwa, Hwang Seok-jeong, Shin Eun-jung",Drama,Motif Pictures,KR
