movieCd,salesAcc,audiAcc,movieNm_box,actors,directors,genres,nations,repNationNm,productionCompanies
20234722,362767000,16090,마이 샤이니 월드,샤이니,이후빈,공연|다큐멘터리,한국,,메가박스중앙(주) 플러스엠 엔터테인먼트|(주)에스엠엔터테인먼트
20234730,718068032,72580,추락의 해부,산드라 휠러|스완 아를로|밀로 마차도 그라너,쥐스틴 트리에,드라마|스릴러,프랑스,,
20234789,1028662814,111088,패스트 라이브즈,그레타 리|유태오|존 마가로,셀린 송,드라마,미국,,
20234797,1774917370,181617,헝거게임: 노래하는 새와 뱀의 발라드,레이첼 지글러|톰 블라이스|헌터 샤퍼|비올라 데이비스|피터 딘클리지,프란시스 로렌스,액션|어드벤처|SF|스릴러,미국,,
20234798,238935560,31448,극장판 우당탕탕 은하안전단: 진정한 용기!,김은아|엄상현|이지현|이민규|전태열,정지훈,애니메이션,한국,,(주)마로스튜디오
20234808,67141807,7413,생츄어리 2 : 쿼카가 너무해,앵거리 라이스|샘 닐|김소희|김용|박시윤,리카르드 쿠소,애니메이션|액션|어드벤처,호주,,
20234853,808544882,78260,엑소시스트: 믿는 자,엘렌 버스틴|레슬리 오덤 주니어|앤 도드,데이빗 고든 그린,공포(호러),미국,,유니버설픽쳐스인터내셔널 코리아(유)
20234938,98277611,11152,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,오노 켄쇼|하타노 와타루|호시 소이치로,니시키오리 히로시,애니메이션,일본,,
20234946,59479800,9225,원 모어 찬스,주윤발|원영의,반요명,드라마,중국,,
20234957,695716446,85312,스노우 폭스: 썰매개가 될 거야!,제레미 레너|알렉 볼드윈,아론 우들리,애니메이션|어드벤처,미국,,
20235004,101713781,11275,여귀교- 저주를 부르는 게임,시백우,해악륭,공포(호러),대만,,
20235030,6412199689,657757,프레디의 피자가게,조쉬 허처슨|엘리자베스 라일|캣 코너 스털링|파이퍼 루비오|메리 스튜어트 매스터슨,엠마 타미,공포(호러)|스릴러,미국,,유니버설픽쳐스인터내셔널 코리아(유)
20235034,6785010630,683904,더 마블스,브리 라슨|테요나 패리스|이만 벨라니|자웨 애쉬튼|사무엘 L. 잭슨,니아 다코스타,액션|SF,미국,,
20235044,78827500,9981,녹야,판빙빙|이주영|천재경|허수빈,한슈아이,드라마,홍콩,,
20235098,2199733317,220345,나폴레옹,호아킨 피닉스|바네사 커비,리들리 스콧,전쟁|드라마,미국,,
20235145,139392896,16575,기적의 시작,임동진,권순도,다큐멘터리,한국,,퓨어웨이픽쳐스
20235173,85100700,10048,더 킬러,마이클 패스벤더|틸다 스윈튼,데이빗 핀처,스릴러,미국,,
20235253,12892949759,1333104,외계+인 2부,류준열|김태리|김우빈|이하늬|염정아,최동훈,기타,한국,,(주)케이퍼필름
20235261,248617300,25513,극장판 파워 디지몬 더 비기닝,카타야마 후쿠쥬로|오가타 메구미|에노키 준야,타구치 토모히사,애니메이션,일본,,
20235290,521159249,56177,도티와 영원의 탑,나희선|최예린|이민호|이민형|차재원,박인한|양희성|배완,애니메이션,한국,,(주)샌드박스네트워크
20235353,1068022451,110919,길위에 김대중,김대중|김도영|김재록|서석규|김남희,민환기,다큐멘터리,한국,,(주)명필름|(주)시네마6411
20235360,69402257,8208,매직 프린세스: 얼음 괴물과 사라진 열쇠의 비밀,,안드레이 콜핀,애니메이션|어드벤처|판타지,러시아,,
20235459,565695000,20451,테일러 스위프트 디 에라스 투어,,,공연,미국,,
