movieCd,movieNm,movieNmEn,movieNmOg,showTm,prdtYear,openDt,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
20184572,타짜: 원 아이드 잭,Tazza: One Eyed Jack,,139.0,2019,20190911,개봉,장편,,,,범죄|드라마,한국,권오광,박정민|류승범|최유화|우현|윤제문,(주)싸이더스|(주)엠씨엠씨|(주)비에이엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트
20175547,스윙키즈,Swing Kids,,133.0,2018,20181219,개봉,장편,,,,드라마,한국,강형철,도경수|박혜수|자레드 그라임스|오정세|김민호,(주)안나푸르나필름,(주)넥스트엔터테인먼트월드(NEW)
20196675,젊은이의 양지,Light for the Youth,,113.0,2019,20201028,개봉,장편,,,,드라마,한국,신수원,김호정|윤찬영|정하담|최준영|한재이,(주)준필름,(주)리틀빅픽쳐스
20177539,사바하,SVAHA : THE SIXTH FINGER,,122.0,2018,20190220,개봉,장편,,,,미스터리|스릴러,한국,장재현,이정재|박정민|이재인|유지태|정진영,(주)외유내강|(주)필름케이,(주)씨제이이엔엠
20195790,콜드 워,COLD WAR,Zimna wojna,88.0,2018,20190207,개봉,장편,,,,멜로/로맨스,폴란드,파벨 파블리코브스키,요안나 쿨릭|토마즈 코트,,아이 엠
20206826,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",,,80.0,2020,20200929,개봉,장편,,,,공연,한국,,김호중,씨제이포디플렉스 주식회사,씨제이포디플렉스 주식회사
20200583,요가학원 : 죽음의 쿤달리니,The Cursed Lesson,,93.0,2019,20201118,개봉,장편,,,,공포(호러),한국,김지한|전재홍,이채영|최철호|조정민|간미연|한세민,(주)트리니티엔터테인먼트|오퍼스픽쳐스(유),(주)스마일이엔티
20196284,윤희에게,Moonlit Winter,滿月,104.0,2019,20191114,개봉,장편,,,,멜로/로맨스,한국,임대형,김희애|나카무라 유코|김소혜|성유빈|김학선,영화사 달리기,(주)리틀빅픽쳐스
20198942,아이리시맨,The Irishman,,208.0,2019,20191120,개봉,장편,,,,범죄|드라마|스릴러,미국,마틴 스코세이지,로버트 드 니로|알 파치노|조 페시|하비 케이틀,,판씨네마(주)
20180868,뺑반,Hit-and-Run Squad,,133.0,2018,20190130,개봉,장편,,,,범죄|액션,한국,한준희,공효진|류준열|조정석|유연수|염정아,오리진필름(주)|(주)쇼박스,(주)쇼박스
20208393,극장판 요괴워치: 포에버 프렌즈,,映画 妖怪ウォッチ FOREVER FRIENDS,99.0,2019,20201015,개봉,장편,,,,애니메이션,일본,타카하시 시게하루,신용우|정혜원|박리나|김현지,,(주)씨제이이엔엠
20203701,사랑이 눈뜰 때,Blind,,105.0,2017,20200826,개봉,장편,,,,드라마|멜로/로맨스,미국,마이클 메일러,알렉 볼드윈|데미 무어,,(주)이놀미디어
20195789,빠삐용,Papillon,,133.0,2017,20190227,개봉,장편,,,,범죄|드라마,미국,마이클 노어,찰리 허냄|라미 말렉,,(주)드림팩트엔터테인먼트
20198961,더 킹: 헨리 5세,The King,,140.0,2019,20191023,개봉,장편,,,,드라마,네덜란드,데이비드 미쇼,티모시 샬라메|조엘 에저튼|숀 해리스|릴리 로즈 멜로디 뎁,,판씨네마(주)
20206588,극장판 미니특공대: 햄버거괴물의 습격,,,86.0,2020,20200930,개봉,장편,,,,애니메이션|액션,한국,이영준,엄상현|양정화|이소영|전태열|신용우,(주)에스에이엠지엔터테인먼트,(주)리틀빅픽쳐스
20010013,봄날은 간다,One Fine Spring Day,,113.0,2001,20010928,개봉,장편,,,,드라마,한국,허진호,유지태|이영애|박인환|신신애|김태진,(주)싸이더스|싸이더스 우노 필름,(주)시네마서비스
20201221,컨택트 2020,Proximity,,119.0,2020,20200715,개봉,장편,,,,SF|미스터리,미국,,,,위드 라이언 픽쳐스
20193807,예스터데이,YESTERDAY,,116.0,2019,20190918,개봉,장편,,,,드라마,미국|영국,대니 보일,히메쉬 파텔|릴리 제임스|케이트 맥키넌|에드 시런|제임스 코든,,유니버설픽쳐스인터내셔널 코리아(유)
20180939,남산의 부장들,The Man Standing Next,,113.0,2019,20200122,개봉,장편,,,,드라마,한국,우민호,이병헌|이성민|곽도원|이희준|김소진,(주)하이브미디어코프,(주)쇼박스
20185161,나를 찾아줘,Bring Me Home,,107.0,2019,20191127,개봉,장편,,,,스릴러,한국,김승우,이영애|유재명|이원근|박해준|백주희,(주)26컴퍼니|(주)케이웍스스튜디오,워너브러더스 코리아(주)
20188941,악인전,"The Gangster, The Cop, The Devil",,109.0,2019,20190515,개봉,장편,,,,범죄|액션,한국,이원태,마동석|김무열|김성규|강문봉|문동혁,(주)비에이엔터테인먼트,(주)에이스메이커무비웍스|(주)키위미디어그룹
20195005,경계선,Border,Gräns,110.0,2018,20191024,개봉,장편,,,,판타지|멜로/로맨스,스웨덴|덴마크,알리 아바시,에바 멜란데르|에로 밀로노프,,(주)제이앤씨미디어그룹
20196820,양지의 그녀,Girl In The Sunny Place,陽だまりの彼女,128.0,2013,20190321,개봉,장편,,,,멜로/로맨스|드라마,일본,미키 타카히로,마츠모토 준|우에노 주리|키타무라 타쿠미|스다 마사키,,(주)영화사오원
