rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm_box,openDt_box,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,movieNm_detail,movieNmEn,movieNmOg,showTm,prdtYear,openDt_detail,prdtStatNm,typeNm,repNationNm,repGenreNm,watchGradeNm,genres,nations,directors,actors,productionCompanies,distributors
7,7,0,OLD,20183785,점박이 한반도의 공룡2 : 새로운 낙원,2018-12-25,150542800,5.4,-340318300,-69.3,3582945300,21225,-39349,-65.0,457111,501,843,20190102,점박이 한반도의 공룡2 : 새로운 낙원,,,93,2018,20181225,개봉,장편,,,,애니메이션,한국,한상호,박희순|라미란|김성균|박중금|장유화,(주)드림써치C&C,(주)넥스트엔터테인먼트월드(NEW)
8,8,0,OLD,20182421,그린치,2018-12-19,74478500,2.7,-189809600,-71.8,4014208550,10527,-22297,-67.9,528415,370,508,20190102,그린치,The Grinch,,89,2018,20181219,개봉,장편,,,,애니메이션|코미디,미국,스콧 모시어,베네딕트 컴버배치,,유니버설픽쳐스인터내셔널 코리아(유)
9,9,0,OLD,20183479,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,2018-12-19,74949850,2.7,-158953750,-68.0,2457561500,10414,-18958,-64.5,316992,280,383,20190102,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,Crayon Shin-chan: Burst Serving! Kung Fu Boys - Ramen Rebellion,,103,2018,20181219,개봉,장편,,,,애니메이션,일본,타카하시 와타루,박영남|강희선|김환진|여민정|정유미,,(주)씨제이이엔엠
10,10,0,OLD,20168773,마약왕,2018-12-19,54248000,1.9,-119276150,-68.7,16012496702,6794,-12454,-64.7,1839636,403,684,20190102,마약왕,The Drug King,,139,2017,20181219,개봉,장편,,,,범죄|드라마,한국,우민호,송강호|조정석|배두나|김소진|김대명,(주)하이브미디어코프,(주)쇼박스
1,1,0,NEW,20189463,주먹왕 랄프 2: 인터넷 속으로,2019-01-03,942808600,30.5,942808600,100.0,985518600,125882,125882,100.0,130447,962,3269,20190103,주먹왕 랄프 2: 인터넷 속으로,Ralph Breaks the Internet,,112,2018,20190103,개봉,장편,,,,애니메이션|어드벤처|코미디|가족,미국,리치 무어,존 C. 라일리|사라 실버맨|맨디 무어|크리스틴 벨,,월트디즈니컴퍼니코리아 유한책임회사
2,2,-1,OLD,20180290,아쿠아맨,2018-12-19,664994950,21.5,-208965100,-23.9,35475658431,81399,-23690,-22.5,4062451,1074,3853,20190103,아쿠아맨,AQUAMAN,,143,2018,20181219,개봉,장편,,,,액션,미국|호주,제임스 완,제이슨 모모아|앰버 허드|니콜 키드먼|패트릭 윌슨|윌렘 데포,,워너브러더스 코리아(주)
3,3,-1,OLD,20170658,PMC: 더 벙커,2018-12-26,287866850,9.3,-109618400,-27.6,12153542567,35509,-13791,-28.0,1459699,747,2681,20190103,PMC: 더 벙커,Take Point,,124,2018,20181226,개봉,장편,,,,액션,한국,김병우,하정우|이선균|제니퍼 엘|민무제|강신철,(주)퍼펙트스톰필름,(주)씨제이이엔엠
4,4,-1,OLD,20185485,보헤미안 랩소디,2018-10-31,267494700,8.7,-62832250,-19.0,81845000445,32889,-8065,-19.7,9434304,652,1711,20190103,보헤미안 랩소디,Bohemian Rhapsody,,134,2018,20181031,개봉,장편,,,,드라마,미국,브라이언 싱어,라미 말렉|조셉 마젤로|마이크 마이어스|루시 보인턴,,월트디즈니컴퍼니코리아 유한책임회사|이십세기폭스코리아(주)
5,5,-1,OLD,20186281,범블비,2018-12-25,198721050,6.4,-84898400,-29.9,11381928952,25065,-10763,-30.0,1360661,656,1921,20190103,범블비,Bumblebee,,113,2018,20181225,개봉,장편,,,,액션|어드벤처|SF,미국,트래비스 나이트,헤일리 스테인펠드|파멜라 애들론|존 시나|피터 쿨렌|케네스 최,,롯데컬처웍스(주)롯데엔터테인먼트
6,6,0,OLD,20175547,스윙키즈,2018-12-19,147258350,4.8,-31858000,-17.8,11215888002,19023,-4081,-17.7,1367111,536,1112,20190103,스윙키즈,Swing Kids,,133,2018,20181219,개봉,장편,,,,드라마,한국,강형철,도경수|박혜수|자레드 그라임스|오정세|김민호,(주)안나푸르나필름,(주)넥스트엔터테인먼트월드(NEW)
