movieCd,movieNm_box,openDt_box,movieNm_detail,movieNmEn,movieNmOg,genres,nations,directors,actors,productionCompanies,distributors
20232740,바비,2023-07-19,바비,Barbie,,기타,미국,그레타 거윅,마고 로비|라이언 고슬링|아메리카 페레라|케이트 맥키넌|잇사 레이,,워너브러더스 코리아(주)
20232778,인시디어스: 빨간 문,2023-07-19,인시디어스: 빨간 문,Insidious: The Red Door,,공포(호러),미국,패트릭 윌슨,패트릭 윌슨|타이 심킨스,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
20232639,극장판 슈퍼윙스: 맥시멈 스피드,2023-07-20,극장판 슈퍼윙스: 맥시멈 스피드,,,애니메이션,한국,정길훈,문남숙|장은숙|최보배|전태열|이재범,(주)퍼니플럭스,(주)넥스트엔터테인먼트월드(NEW)
20232536,명탐정코난: 흑철의 어영,2023-07-20,명탐정코난: 흑철의 어영,Detective Conan The Movie: Black Iron Submarine,,애니메이션,일본,타치카와 유즈루,,,(주)씨제이이엔엠
20232601,틴에이지 크라켄 루비,2023-07-25,틴에이지 크라켄 루비,"Ruby Gillman, Teenage Kraken",,애니메이션,미국,커크 드 미코,,,유니버설픽쳐스인터내셔널 코리아(유)
20218541,밀수,2023-07-26,밀수,Smugglers,,액션,한국,류승완,김혜수|염정아|조인성|박정민|김종수,(주)외유내강,(주)넥스트엔터테인먼트월드(NEW)
20232491,핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,2023-07-26,핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,Pinkfong Sing-Along Movie3: Catch the Gingerbread Man,,애니메이션,한국,변희선,조경이|이소은|박요한|김새해|장예나,더핑크퐁컴퍼니(주),더핑크퐁컴퍼니(주)
20232854,헌티드 맨션,2023-07-26,헌티드 맨션,Haunted Mansion,,공포(호러),미국,저스틴 시미엔,티파니 해디쉬|오웬 윌슨|대니 드비토|로자리오 도슨,,월트디즈니컴퍼니코리아 유한책임회사
20218935,더 문,2023-08-02,더 문,The Moon,,SF|액션|드라마,한국,김용화,설경구|도경수|박병은|조한철|최병모,씨제이이엔엠 스튜디오스 주식회사|블라드스튜디오,(주)씨제이이엔엠
20193879,비공식작전,2023-08-02,비공식작전,Ransomed,,드라마,한국,김성훈,하정우|주지훈|권은성|임형국|김응수,(주)와인드업필름|와이낫필름,(주)쇼박스
20204264,콘크리트 유토피아,2023-08-09,콘크리트 유토피아,Concrete Utopia,,드라마|기타,한국,엄태화,이병헌|박서준|박보영|김선영|김도윤,클라이맥스 스튜디오(주)|(주)비에이치 엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트
20232618,런닝맨: 리벤져스,2023-08-10,런닝맨: 리벤져스,Running Man : Revengers,,애니메이션,한국,엄영식,김서영|엄상현|권창욱|김연우|강시현,(주)로커스,(주)넥스트엔터테인먼트월드(NEW)
20226500,달짝지근해: 7510,2023-08-15,달짝지근해: 7510,HONEYSWEET,,코미디,한국,이한,유해진|김희선|차인표|진선규|한선화,(주)무비락,(주)마인드마크
20233052,메가로돈 2,2023-08-15,메가로돈 2,Meg 2: The Trench,Meg 2: The Trench,액션,미국,벤 휘틀리,제이슨 스타뎀|오경,,워너브러더스 코리아(주)
20192995,보호자,2023-08-15,보호자,A Man of Reason,,액션|드라마,한국,정우성,정우성|김남길|김준한|박성웅|박유나,(주)영화사테이크,(주)에이스메이커무비웍스
20226431,오펜하이머,2023-08-15,오펜하이머,Oppenheimer,,스릴러|드라마,미국,크리스토퍼 놀란,킬리언 머피|에밀리 블런트|맷 데이먼|로버트 다우니 주니어|플로렌스 퓨,,유니버설픽쳐스인터내셔널 코리아(유)
20210868,강변의 무코리타,2023-08-23,강변의 무코리타,Riverside Mukolitta,川っぺりムコリッタ,드라마,일본,오기가미 나오코,마츠야마 켄이치|무로 츠요시|미츠시마 히카리|에구치 노리코|에모토 타스쿠,,(주)디스테이션
20223831,스파이 코드명 포춘,2023-08-30,스파이 코드명 포춘,Operation Fortune: Ruse de guerre,,액션,미국,가이 리치,제이슨 스타뎀|휴 그랜트|조쉬 하트넷|캐리 엘위스|오브리 플라자,,(주)레드아이스 엔터테인먼트|(주)제이앤씨미디어그룹
20233075,신체모음.zip,2023-08-30,신체모음.zip,Body Parts,,공포(호러),한국,서형우|김장미|지삼|이광진|전병덕|최원경,김민석|김채은|한상혁|강준규|김아현,(주)싸이더스|주식회사 헤이데이프로덕션|무비파킹 주식회사,(주)스튜디오디에이치엘|(주)싸이더스
20233569,조이 라이드,2023-08-30,조이 라이드,JOY RIDE,,코미디,미국,,애슐리 박|스테파니 수|셰리 콜라|사브리나 우,,판씨네마(주)
20233014,타겟,2023-08-30,타겟,Don't Buy the Seller,,스릴러,한국,박희곤,신혜선|김성균|임성재|임철수|이주영,(주)영화사피어나,메가박스중앙(주) 플러스엠 엔터테인먼트
20231413,한 남자,2023-08-30,한 남자,A Man,ある男,범죄|멜로/로맨스|스릴러,일본,이시카와 케이,츠마부키 사토시|안도 사쿠라,,트윈플러스파트너스(주)
20233668,청춘 돼지는 외출하는 여동생의 꿈을 꾸지 않는다,2023-08-31,청춘 돼지는 외출하는 여동생의 꿈을 꾸지 않는다,Rascal Does Not Dream of a Sister Venturing Out,,애니메이션,일본,마스이 소이치,,,
