movieNm_detail,gender,age,request_body,response
스노우 폭스2: 몬스터타운 구하기,f,2,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'f', 'ages': ['2']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-21"",""ratio"":60},{""period"":""2025-04-28"",""ratio"":100},{""period"":""2025-05-05"",""ratio"":60},{""period"":""2025-05-12"",""ratio"":10},{""period"":""2025-05-19"",""ratio"":10}]}]}"
스노우 폭스2: 몬스터타운 구하기,f,3,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'f', 'ages': ['3']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-07"",""ratio"":3.63636},{""period"":""2025-04-21"",""ratio"":50.90909},{""period"":""2025-04-28"",""ratio"":96.36363},{""period"":""2025-05-05"",""ratio"":100},{""period"":""2025-05-12"",""ratio"":10.90909},{""period"":""2025-05-19"",""ratio"":3.63636}]}]}"
스노우 폭스2: 몬스터타운 구하기,f,4,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'f', 'ages': ['4']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-03-31"",""ratio"":1.20481},{""period"":""2025-04-21"",""ratio"":36.14457},{""period"":""2025-04-28"",""ratio"":78.31325},{""period"":""2025-05-05"",""ratio"":100},{""period"":""2025-05-12"",""ratio"":3.61445},{""period"":""2025-05-19"",""ratio"":3.61445}]}]}"
스노우 폭스2: 몬스터타운 구하기,f,5,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'f', 'ages': ['5']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-14"",""ratio"":0.79365},{""period"":""2025-04-21"",""ratio"":42.06349},{""period"":""2025-04-28"",""ratio"":100},{""period"":""2025-05-05"",""ratio"":94.44444},{""period"":""2025-05-12"",""ratio"":6.3492},{""period"":""2025-05-19"",""ratio"":6.3492}]}]}"
스노우 폭스2: 몬스터타운 구하기,f,6,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'f', 'ages': ['6']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-21"",""ratio"":34.2318},{""period"":""2025-04-28"",""ratio"":100},{""period"":""2025-05-05"",""ratio"":81.40161},{""period"":""2025-05-12"",""ratio"":5.66037},{""period"":""2025-05-19"",""ratio"":4.04312}]}]}"
스노우 폭스2: 몬스터타운 구하기,f,7,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'f', 'ages': ['7']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-03-31"",""ratio"":0.18181},{""period"":""2025-04-21"",""ratio"":45.0909},{""period"":""2025-04-28"",""ratio"":100},{""period"":""2025-05-05"",""ratio"":87.45454},{""period"":""2025-05-12"",""ratio"":8.54545},{""period"":""2025-05-19"",""ratio"":6.36363}]}]}"
스노우 폭스2: 몬스터타운 구하기,f,8,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'f', 'ages': ['8']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-21"",""ratio"":39.92537},{""period"":""2025-04-28"",""ratio"":100},{""period"":""2025-05-05"",""ratio"":98.50746},{""period"":""2025-05-12"",""ratio"":5.59701},{""period"":""2025-05-19"",""ratio"":6.71641}]}]}"
스노우 폭스2: 몬스터타운 구하기,f,9,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'f', 'ages': ['9']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-14"",""ratio"":1.21951},{""period"":""2025-04-21"",""ratio"":30.4878},{""period"":""2025-04-28"",""ratio"":100},{""period"":""2025-05-05"",""ratio"":59.75609},{""period"":""2025-05-12"",""ratio"":7.31707},{""period"":""2025-05-19"",""ratio"":6.09756}]}]}"
스노우 폭스2: 몬스터타운 구하기,f,10,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'f', 'ages': ['10']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-03-31"",""ratio"":24.24242},{""period"":""2025-04-07"",""ratio"":3.0303},{""period"":""2025-04-14"",""ratio"":6.0606},{""period"":""2025-04-21"",""ratio"":33.33333},{""period"":""2025-04-28"",""ratio"":100},{""period"":""2025-05-05"",""ratio"":93.93939},{""period"":""2025-05-12"",""ratio"":15.15151},{""period"":""2025-05-19"",""ratio"":6.0606}]}]}"
스노우 폭스2: 몬스터타운 구하기,f,11,"{'startDate': '2025-03-27', 'endDate': '2025-05-26', 'timeUnit': 'week', 'keywordGroups': [{'groupName': '스노우 폭스2: 몬스터타운 구하기', 'keywords': ['스노우 폭스2: 몬스터타운 구하기', 'Arctic Dogs : The Magic Portal', 'Il portale magico']}], 'gender': 'f', 'ages': ['11']}","{""startDate"":""2025-03-24"",""endDate"":""2025-06-01"",""timeUnit"":""week"",""results"":[{""title"":""스노우 폭스2: 몬스터타운 구하기"",""keywords"":[""스노우 폭스2: 몬스터타운 구하기"",""Arctic Dogs : The Magic Portal"",""Il portale magico""],""data"":[{""period"":""2025-04-21"",""ratio"":14.63414},{""period"":""2025-04-28"",""ratio"":100},{""period"":""2025-05-05"",""ratio"":85.36585},{""period"":""2025-05-12"",""ratio"":2.43902},{""period"":""2025-05-19"",""ratio"":2.43902}]}]}"
