kobis_movieCd,kobis_movieNm_box,kobis_audiAcc,kobis_openDt,kobis_prdtYear,kobis_genres,kobis_nations,kobis_directors,kobis_actors,kobis_productionCompanies,kobis_distributors,movie_title,movie_release_date,movie_imdb_id,movie_tmdb_id,movie_overview,movie_origin_country,movie_directors,movie_cast_top5,movie_genres,movie_production_companies,movie_production_countries,movie_overview_en
20224517,용감한 시민,263384,20231025,2022,액션|드라마,한국,박진표,신혜선|이준영|박정우|박혁권|차청화,스튜디오엔(주)|볼미디어(주) ,(주)마인드마크,용감한 시민,2023-10-25,tt22505214,897160,"불의는 못 본 척, 성질은 없는 척, 주먹은 약한 척 먹고 살기 위해 조용히 살아 온 기간제 교사 소시민. 법도 경찰도 무서울 것 하나 없는 안하무인 절대권력 한수강의 선을 넘는 행동을 목격하게 된다. 그의 계속되는 악행을 도저히 참을 수 없었던 그녀, 정체를 숨긴 채 통쾌한 한 방을 날리기로 마음 먹는데…",KR,박진표,"신혜선, 이준영, 박정우, 박혁권, 차청화","액션, 드라마, 코미디","Studio N, Oscar 10 Studio, Vol Media",KR,"An expelled boxing champion, who now is a high-school teacher, witnesses intolerable violence and throws her first punch to build justice against it, while putting on a mask."
20219826,용과 주근깨 공주,63985,20210929,2021,애니메이션|어드벤처|드라마,일본,호소다 마모루,나카무라 카호|사토 타케루|나리타 료|소메타니 쇼타|타마시로 티나,,와이드 릴리즈(주),용과 주근깨 공주,2021-07-16,tt13651628,776305,"고치현의 자연이 풍요로운 마을에 사는 17세의 여고생 스즈는, 어릴 적에 어머니를 사고로 여의고 아버지와 단둘이 살고 있다. 엄마와 함께 노래하는 것을 무엇보다도 좋아했던 스즈는 그 죽음을 계기로 노래할 수 없게 되었고, 어느새 아버지와의 관계에도 틈이 생겨 현실 세계에 마음을 닫게 된다. 곡을 만드는 일만이 삶의 양식이 되던 어느 날 공교롭게도 전세계에서 50억명 이상이 모여드는 초거대 인터넷 공간의 가상세계에 벨이라는 캐릭터로 참여하게 된다.",JP,호소다 마모루,"中村佳穂, 나리타 료, 소메타니 쇼타, 玉城ティナ, 이쿠타 리라","애니메이션, SF, 드라마, 음악, 모험, 판타지","Studio Chizu, Nippon Television Network Corporation, dentsu, TOHO, KADOKAWA, Hakuhodo DY Media Partners, Yomiuri Telecasting Corporation, BookWalker, NTT Docomo, Lawson Entertainment, Yomiuri Shimbun Company, movic",JP,"Suzu is a 17-year-old high-school student living in a rural town with her father. Wounded by the loss of her mother at a young age, Suzu one day discovers the massive online world ""U"" and dives into this alternate reality as her avatar, Belle. Before long, all of U's eyes are fixed on Belle, when, suddenly, a mysterious, dragon-like figure appears before her."
20168041,용순,3763,20170608,2017,드라마,한국,신준,이수경|최덕문|장햇살|최여진|박근록,(주)아토,롯데쇼핑㈜롯데엔터테인먼트,용순,2017-06-08,tt7399726,453663,"열여덟 용순은 육상부 담당 체육 선생과 사랑에 빠진다. 하지만 체육에게 왠지 다른 여자가 생긴 것 같다. 엄마 같은 친구 문희와 원수 같은 친구 빡큐가 합심해서 뒤를 캐어보지만, 도통 실마리가 잡히지 않는다. 설상가상으로 아빠라는 사람은 엄마 없는 딸을 위한답시고 몽골에서 새 엄마를 데리고 왔다. 유난히 뜨거웠고 무던히도 달렸던 그 여름, 사랑과 처음 만난 소녀, 용순.",KR,신준,"이수경, 최덕문, 박근록, 김동영, 장햇살","드라마, 코미디","ATO, Lotte Entertainment, Lotte Cinema Arte",KR,"Yong-soon is an 18-year-old high school student. She falls in love with her gym teacher, but she thinks her teacher might have a girlfriend. Yong-Soon and her friends try to find out whether he does have a girlfriend, but they can't find any clues. Making things worse, her father brings a new stepmother from Mongolia."
20190703,우리집,21758,20190822,2019,드라마|가족,한국,윤가은,김나연|김시아|주예림|안지호|임지형,(주)아토,롯데컬처웍스(주)롯데엔터테인먼트,우리집,2019-08-22,tt10713818,575720,"매일 다투는 부모님이 고민인 12살 하나와 자주 이사를 다니는 게 싫기만 한 유미, 유진 자매는 여름방학, 동네에서 우연히 만나 마음을 나누며 가까워진다. 풀리지 않는 ‘가족’에 대한 고민을 터놓으며 단짝이 된 세 사람은 무엇보다 소중한 각자의 ‘우리집’을 지키기 위해 모험을 감행한다.",KR,윤가은,"Kim Na-yeon, 김시아, Joo Ye-rim, 안지호, Choi Jeong-in","가족, 드라마","ATO, Lotte Cinema Arte, Lotte Entertainment",KR,A girl from a troubled family befriends two younger girls and begins to feel a sense of normalcy as they go adventuring at the seaside.
20190703,우리집,21758,20190822,2019,드라마|가족,한국,윤가은,김나연|김시아|주예림|안지호|임지형,(주)아토,롯데컬처웍스(주)롯데엔터테인먼트,우리 집,2017-09-16,tt7797250,488789,"바닷가 마을에 있는 낡은 한 채의 ‘집’을 무대로 두 여성의 이야기가 평행하게 그려진다. 한쪽에 있는 사람은, 아버지가 실종된 뒤 어머니와 둘이 살아가는 열네 살의 세리. 또 다른 한쪽은 페리 위에서 기억을 상실한 자신을 발견한 사나. 두 사람은 대체 어떤 관계에 있는 것일까? 둘은 교차하지 않는 평행 세계에 있는 듯도 하지만, 낡아빠진 셔터, 계단, 창문에 드리운 반투명의 천, 유리 꽃병. 그러한 매혹적인 오브제가 이른바 개구부(開口部)가 되어 ‘저쪽’과 ‘이쪽’은 반전되기 시작한다.",JP,清原惟,"Nodoka Kawanishi, Yukiko Yasuno, Mariwo Osawa, Mei Fujiwara, Masanori Kikuzawa",미스터리,Tokyo University of the Arts,JP,"There are two worlds in this house. One where a mother and daughter reside, and another where two women reside. The two worlds begin to cross, gradually disrupting the lives of those involved. What will happen when everything connects?"
20175407,우상,171623,20190320,2018,스릴러,한국,이수진,한석규|설경구|천우희|강진경|이윤희,리 공동체 영화사|(주)바른손,CGV아트하우스,우상,2019-03-20,tt7095698,572696,"청렴한 도덕성으로 시민들의 뜨거운 지지를 받으며 차기 도지사로 주목받고 있는 도의원 구명회, 어느 날 아들이 교통사고를 내고 이를 은폐한 사실을 알게 된다. 신망받는 자신의 정치 인생이 무엇보다 중요했던 그는 아들을 자수시킨다. 오직 아들만이 세상의 전부인 유중식은 지체 장애 아들 부남을 위해서라면 못할 것이 없다. 자신의 모든 것인 아들이 갑자기 교통사고를 당해 싸늘한 시체로 돌아오자 절망에 빠진다. 사고 당일 아들의 행적을 이해할 수 없고, 함께 있다 자취를 감춘 며느리 최련화를 찾기 위해 경찰에 도움을 청하지만 그의 말을 들어주는 사람은 없다. 아들의 죽음 너머에 드리운 비밀을 밝히기 위해 중식은 홀로 사고를 파헤치기 시작한다. 한편 그날 밤 사고의 진실을 유일하게 알고 있는 최련화, 부남과 함께 있다 연기처럼 사라져버린 그녀에게는 아무도 알지 못하는, 알아서도 안 될 진실이 숨겨져 있는데…",KR,이수진,"한석규, 설경구, 천우희, 유승목, 현봉식",스릴러,"CGV Arthouse, Barunson, Vill Lee Film",KR,"In this political thriller, a politician finds his wife in the garage. She is cleaning her son's bloodstained car, which has just run over a person."
20210962,우연과 상상,23521,20220504,2021,드라마|멜로/로맨스,일본,하마구치 류스케,현리|나카지마 아유무|시부카와 키요히코|우라베 후사코|카와이 아오바,,그린나래미디어(주)|(주)영화사 안다미로,우연과 상상,2021-04-11,tt14034966,795811,메이코는 집으로 돌아가는 택시 안에서 친구에게 새로운 연애 상대 이야기를 듣는다. 여대생 나오는 교수 앞에서 그가 쓴 소설의 일부를 낭독한다. 20년 만에 고향을 찾은 나츠코는 그토록 만나고 싶던 동창생과 재회한다.  우연이 만들어내는 조용히 아주 크게 움직이는 인생의 순간들이 있다. 이 영화는 그에 대한 상상의 결과물이다.,JP,하마구치 류스케,"후루카와 코토네, 中島歩, 현리, 渋川清彦, 森郁月","드라마, 로맨스","Neopa, Fictive",JP,"An unexpected love triangle, a seduction trap, and a random encounter are the three episodes, told in three movements to depict three female characters and trace the trajectories between their choices and regrets."
20210544,웅남이,301617,20230322,2023,코미디|액션,한국,박성광,박성웅|최민수|오달수|염혜란|이이경,(주)영화사김치,씨제이 씨지브이(CJ CGV)(주),웅남이,2023-03-22,tt26599543,995063,"태초에 마늘과 쑥을 100일 동안 먹고, 곰에서 사람이 된 최초의 인물이 있었으니 그 이름 웅녀… 아니 웅남이??!! 인간을 초월한 능력을 가졌지만 얼마 남지 않은 곰의 수명을 우연히 알게 된 충격에 경찰을 그만두고 빈둥빈둥 곰생인생을 살게 된다. 하지만 자신과 머리부터 발끝까지 똑같이 생긴 테러 조직의 2인자가 있다는 사실을 알게 되고, 엄마의 소원인 경찰 복귀를 위해 형사, 구독자 10명의 유튜버, 동네 순경과 공조하여 국제 범죄 조직을 소탕하는 공조 수사대에 합류하게 되는데…",KR,박성광,"박성웅, 이이경, 염혜란, 오달수, 최민수","코미디, 액션",A Kimchi Movie Production,KR,"The bear man who was once a bear become human by eating garlic and mugwort for 100 days. One day, after retirement as a policeman, a terrorist brings the deadly virus and he looks exactly the same as the bear man! With help of a detective and Youtuber, he tries to save the world now."
20147947,워킹걸,132958,20150107,2014,코미디|멜로/로맨스,한국,정범식,조여정|클라라|김태우|배성우|라미란,(주)홍필름|(주)수필름,메가박스중앙(주) 플러스엠 엔터테인먼트,워킹걸,2015-01-07,tt4455690,318541,"남편과의 섹스보다 업무성과가 좋을 때 쾌감을 느끼는 워커홀릭 보희 직장에서는 최고 에이스, 가정생활은 형편없는 보희는 승진을 앞둔 중요한 프레젠테이션에서 치명적인 실수를 저질러 해고를 당한다. 엎친 데 덮친 격, 집에서 그녀를 기다리는 건 남편의 이별통보가 담긴 메세지뿐. 섹스샵 오너이자 제대로된 엔조이(?) 세계의 전도사 난희. 여자는 그것(?) 느껴본 여자와 못 느껴본 여자로 나뉜다는 그녀만의 철학으로 누구보다 섹스에 대해 박학다식하다. 그러나 정작 본인의 섹스샵은 빨간딱지로 가득한데…… 누구보다 완벽할것 같지만 정작 실체는 허당인 그녀들 하루 아침에 쪽박 인생이 된 두 워킹걸의 은밀한 동업이 시작된다!",KR,정범식,"조여정, 클라라, 김태우, 김보연, 라미란","코미디, 로맨스","Soo Film, Hong Film, Plus M Entertainment, kth",KR,"Beautiful, workaholic Bo-hee is a successful marketing executive at the number one toy company in Korea. Respected by her colleagues and in line for a promotion, she makes an irrevocable mistake that gets her fired from her job. Bo-hee's life further spins out of control when her husband Gang-sung leaves her soon after.  Bo-hee is befriended by her neighbor Nan-hee, an amateur sex expert who runs a sex shop on the brink of bankruptcy called ""Casa Amor."" Nan-hee's predicament inspires Bo-hee's creativity, and using her background in children's toys, she is determined to save the shop by making its ambiance more refined and by promoting better sex toys."
20191143,원더랜드,620887,20240605,2024,드라마,한국,김태용,탕웨이|배수지|박보검|정유미|최우식,(주)영화사봄|(주)기린제작사,(주)에이스메이커무비웍스,원더랜드,2024-06-05,tt31254554,635996,"죽은 사람을 인공지능으로 복원하는 원더랜드 서비스가 일상이 된 세상, 어린 딸에게 자신의 죽음을 숨기기 위해 원더랜드 서비스를 의뢰한 바이리와 사고로 누워있는 남자친구 태주를 원더랜드에서 우주인으로 복원해 행복한 일상을 나누는 정인. 사람들은 더 이상 그리워하거나 슬퍼하지 않는 삶을 선택할 수 있게 된다. 어느 날 의식불명 상태의 태주가 기적처럼 깨어나 곁으로 돌아오고 다시 마주하게 된 모든 것이 낯설고 혼란스러운 태주와 그런 그와 함께하는 현실에 정인의 마음에는 조금씩 균열이 찾아온다. 한편, 원더랜드에서 발굴 현장을 누비는 고고학자로 복원된 바이리는 딸과의 영상통화를 통해 친구 같은 엄마가 되기 위해 노력하지만 갑작스럽게 서비스가 종료되면서 예상치 못한 오류가 발생하는데….",KR,김태용,"탕웨이, 수지, 박보검, 정유미, 최우식","SF, 드라마","Bom Film Productions, Kirin Productions",KR,"In a world where an AI programme allows people to communicate with their deceased loved ones, a flight attendant and a mother question the meaning of reality and humanity."
